               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.040617,            0.031474,           0.0010618,              0.7466,             0.69083,             0.64411,             0.28589,            0.048449,            0.033375,          0.00059625,           0.0027419,           0.0027419,           0.0027419
                  73,             0.03989,            0.030344,          0.00091796,             0.80883,             0.72792,             0.69931,             0.30338,            0.047395,            0.031869,          0.00056176,           0.0026316,           0.0026316,           0.0026316
                  74,            0.040539,            0.030501,           0.0010718,             0.75721,             0.70462,             0.65625,             0.28704,            0.048429,            0.032479,          0.00058326,           0.0025241,           0.0025241,           0.0025241
                  75,            0.040057,            0.030353,          0.00083425,             0.76432,             0.69392,             0.64777,             0.29434,            0.048179,             0.03312,          0.00056417,           0.0024195,           0.0024195,           0.0024195
                  76,            0.039707,            0.028862,          0.00097806,             0.77371,             0.71005,             0.65952,             0.29203,            0.048399,            0.033614,          0.00062471,            0.002318,            0.002318,            0.002318
                  77,            0.039414,            0.030854,          0.00075662,             0.79559,             0.71935,             0.68122,             0.30376,            0.047058,            0.032715,           0.0005766,           0.0022196,           0.0022196,           0.0022196
                  78,            0.038789,              0.0316,           0.0010105,             0.77897,             0.70712,             0.66073,             0.29751,            0.047891,            0.033641,          0.00066872,           0.0021245,           0.0021245,           0.0021245
                  79,            0.040178,            0.030557,          0.00098408,             0.81142,             0.73158,             0.70469,             0.30717,            0.046543,             0.03238,          0.00061328,           0.0020327,           0.0020327,           0.0020327
                  80,            0.039905,            0.030452,          0.00090173,             0.78957,             0.71687,             0.67782,             0.30406,            0.046831,            0.032294,          0.00060339,           0.0019443,           0.0019443,           0.0019443
                  81,            0.039725,            0.030836,          0.00099512,             0.77146,             0.70345,             0.66404,             0.29536,            0.048035,            0.032705,          0.00060793,           0.0018594,           0.0018594,           0.0018594
                  82,            0.039569,            0.031449,           0.0009246,             0.78658,              0.7159,             0.67873,             0.30208,            0.046987,            0.032419,          0.00060309,           0.0017781,           0.0017781,           0.0017781
                  83,            0.038894,             0.02824,           0.0007475,              0.7908,             0.71831,              0.6838,             0.30477,            0.046866,            0.032574,          0.00065506,           0.0017005,           0.0017005,           0.0017005
                  84,            0.038788,            0.029323,          0.00081537,              0.8001,             0.72325,             0.69268,             0.31498,            0.045963,            0.031414,          0.00057133,           0.0016267,           0.0016267,           0.0016267
                  85,            0.039141,            0.030395,          0.00090593,             0.80718,             0.72628,             0.69621,             0.31238,            0.046342,            0.032128,          0.00062924,           0.0015566,           0.0015566,           0.0015566
                  86,            0.039344,             0.03064,          0.00078405,             0.80845,             0.72415,             0.69748,             0.31686,            0.045674,            0.031769,          0.00061038,           0.0014905,           0.0014905,           0.0014905
                  87,            0.039697,            0.030738,          0.00092834,             0.82388,             0.73441,             0.71719,             0.32565,            0.045255,            0.031037,           0.0006218,           0.0014283,           0.0014283,           0.0014283
                  88,              0.0387,            0.028449,          0.00063492,             0.79924,             0.71337,             0.67793,             0.30712,            0.046776,            0.032147,          0.00062596,           0.0013701,           0.0013701,           0.0013701
                  89,            0.038886,            0.030342,          0.00081343,             0.78598,             0.71642,             0.67431,             0.30591,            0.047251,            0.032911,          0.00062249,            0.001316,            0.001316,            0.001316
                  90,            0.039142,            0.030009,          0.00084589,             0.77926,             0.71186,             0.66781,             0.30278,            0.047758,            0.032833,           0.0006206,            0.001266,            0.001266,            0.001266
                  91,            0.038688,            0.030482,          0.00076499,             0.78681,             0.71738,             0.68078,             0.30675,            0.047498,            0.033347,          0.00061115,           0.0012202,           0.0012202,           0.0012202
                  92,            0.039231,            0.029615,          0.00076525,             0.78762,             0.71052,             0.67615,             0.29841,             0.04716,            0.032526,          0.00057804,           0.0011787,           0.0011787,           0.0011787
                  93,            0.038707,            0.030564,          0.00055554,             0.78718,             0.71054,             0.67143,             0.29459,            0.047627,            0.033271,          0.00058787,           0.0011414,           0.0011414,           0.0011414
                  94,            0.039274,            0.028593,          0.00081163,             0.78448,             0.71201,             0.67194,             0.30474,            0.047481,            0.033378,          0.00060241,           0.0011084,           0.0011084,           0.0011084
                  95,            0.038745,            0.029863,          0.00081005,             0.80891,             0.72814,             0.69985,              0.3168,            0.046452,            0.032192,          0.00057806,           0.0010797,           0.0010797,           0.0010797
                  96,            0.039343,            0.029825,           0.0007785,             0.81893,              0.7213,             0.70085,             0.31529,            0.046006,            0.031676,          0.00059683,           0.0010554,           0.0010554,           0.0010554
                  97,            0.038911,            0.030959,            0.000764,             0.80139,             0.72116,             0.68665,             0.30708,            0.046795,            0.032462,          0.00061383,           0.0010355,           0.0010355,           0.0010355
                  98,            0.038658,            0.030798,          0.00068761,             0.79679,             0.72371,             0.68707,             0.30623,            0.046966,            0.032623,          0.00060618,             0.00102,             0.00102,             0.00102
                  99,            0.038264,            0.029585,          0.00071022,             0.80558,             0.73344,             0.69496,             0.30985,            0.046917,            0.032631,          0.00057783,           0.0010089,           0.0010089,           0.0010089
